lag_intervals,corr,n,lag_minutes,lag_hours
-70.0,0.4479091662212218,12701.0,-700.0,-11.666666666666666
-69.0,0.44653745595716116,12704.0,-690.0,-11.5
-68.0,0.44536635656649803,12707.0,-680.0,-11.333333333333334
-67.0,0.44410610839980463,12710.0,-670.0,-11.166666666666666
-66.0,0.44297903300447444,12713.0,-660.0,-11.0
-65.0,0.4420173118775682,12716.0,-650.0,-10.833333333333334
-64.0,0.4410545143883101,12719.0,-640.0,-10.666666666666666
-63.0,0.4402290507754805,12722.0,-630.0,-10.5
-62.0,0.4396470866480401,12725.0,-620.0,-10.333333333333334
-61.0,0.438920511729625,12728.0,-610.0,-10.166666666666666
-60.0,0.43939581326937205,12731.0,-600.0,-10.0
-59.0,0.4395252719795836,12734.0,-590.0,-9.833333333333334
-58.0,0.4392452865332135,12737.0,-580.0,-9.666666666666666
-57.0,0.44019438082301066,12740.0,-570.0,-9.5
-56.0,0.44202376533810905,12743.0,-560.0,-9.333333333333334
-55.0,0.4428578234970642,12746.0,-550.0,-9.166666666666666
-54.0,0.44433480510692835,12749.0,-540.0,-9.0
-53.0,0.44574501326787447,12752.0,-530.0,-8.833333333333334
-52.0,0.4473891448528463,12755.0,-520.0,-8.666666666666666
-51.0,0.4488538441635675,12758.0,-510.0,-8.5
-50.0,0.4506828668589541,12761.0,-500.0,-8.333333333333334
-49.0,0.45260772640214264,12765.0,-490.0,-8.166666666666666
-48.0,0.4544351673880638,12769.0,-480.0,-8.0
-47.0,0.45545974091537883,12773.0,-470.0,-7.833333333333333
-46.0,0.4572542166650975,12777.0,-460.0,-7.666666666666667
-45.0,0.4590632819159312,12781.0,-450.0,-7.5
-44.0,0.4609388726127906,12785.0,-440.0,-7.333333333333333
-43.0,0.46252026691771014,12789.0,-430.0,-7.166666666666667
-42.0,0.4641211782859493,12793.0,-420.0,-7.0
-41.0,0.4658315625425587,12797.0,-410.0,-6.833333333333333
-40.0,0.4670911478505052,12801.0,-400.0,-6.666666666666667
-39.0,0.4687280733350588,12805.0,-390.0,-6.5
-38.0,0.47036873629985315,12809.0,-380.0,-6.333333333333333
