lag_intervals,corr,n,lag_minutes,lag_hours
15.0,-0.2533137009415272,12930.0,150.0,2.5
16.0,-0.25389702271686576,12923.0,160.0,2.6666666666666665
17.0,-0.25451839598270154,12916.0,170.0,2.8333333333333335
18.0,-0.25489972308772163,12909.0,180.0,3.0
19.0,-0.2556009069245445,12903.0,190.0,3.1666666666666665
20.0,-0.25633743906624323,12897.0,200.0,3.3333333333333335
21.0,-0.2563163805498429,12891.0,210.0,3.5
22.0,-0.2570062357634437,12885.0,220.0,3.6666666666666665
23.0,-0.25761551224310697,12879.0,230.0,3.8333333333333335
24.0,-0.2583268770514502,12873.0,240.0,4.0
25.0,-0.258663133088009,12867.0,250.0,4.166666666666667
26.0,-0.2588958572348031,12861.0,260.0,4.333333333333333
27.0,-0.25935642877731885,12855.0,270.0,4.5
28.0,-0.25995798525855585,12850.0,280.0,4.666666666666667
29.0,-0.259741132204483,12845.0,290.0,4.833333333333333
30.0,-0.2592335466761471,12841.0,300.0,5.0
31.0,-0.25870306134737037,12837.0,310.0,5.166666666666667
32.0,-0.2585500918370326,12833.0,320.0,5.333333333333333
33.0,-0.259285243547939,12829.0,330.0,5.5
34.0,-0.2596235040223659,12825.0,340.0,5.666666666666667
35.0,-0.2600439261691406,12821.0,350.0,5.833333333333333
36.0,-0.26040452633062094,12817.0,360.0,6.0
37.0,-0.26068182203513973,12813.0,370.0,6.166666666666667
38.0,-0.26097445462920565,12809.0,380.0,6.333333333333333
39.0,-0.26144259225751926,12805.0,390.0,6.5
40.0,-0.2616745044552084,12801.0,400.0,6.666666666666667
41.0,-0.26193411347434653,12797.0,410.0,6.833333333333333
42.0,-0.26241880257388933,12793.0,420.0,7.0
43.0,-0.26295199384148527,12789.0,430.0,7.166666666666667
44.0,-0.2640660326275063,12785.0,440.0,7.333333333333333
45.0,-0.2648978558660415,12781.0,450.0,7.5
46.0,-0.2659831279036612,12777.0,460.0,7.666666666666667
47.0,-0.2664745015710234,12773.0,470.0,7.833333333333333
48.0,-0.2670025661072537,12769.0,480.0,8.0
49.0,-0.2673399579834147,12765.0,490.0,8.166666666666666
