lag_intervals,corr,n,lag_minutes,lag_hours
-55.0,0.6578278503829679,12746.0,-550.0,-9.166666666666666
-54.0,0.6579349374304982,12749.0,-540.0,-9.0
-53.0,0.6582960640595211,12752.0,-530.0,-8.833333333333334
-52.0,0.6589199351755695,12755.0,-520.0,-8.666666666666666
-51.0,0.6593549143814526,12758.0,-510.0,-8.5
-50.0,0.6603288783971516,12761.0,-500.0,-8.333333333333334
-49.0,0.6612918556340758,12765.0,-490.0,-8.166666666666666
-48.0,0.6624572436475779,12769.0,-480.0,-8.0
-47.0,0.6636779311050252,12773.0,-470.0,-7.833333333333333
-46.0,0.6648251187967041,12777.0,-460.0,-7.666666666666667
-45.0,0.666038182884271,12781.0,-450.0,-7.5
-44.0,0.6663862333687247,12785.0,-440.0,-7.333333333333333
-43.0,0.6676824495701776,12789.0,-430.0,-7.166666666666667
-42.0,0.6688952880219607,12793.0,-420.0,-7.0
-41.0,0.6701311998861528,12797.0,-410.0,-6.833333333333333
-40.0,0.6714939150371115,12801.0,-400.0,-6.666666666666667
-39.0,0.6727985144395461,12805.0,-390.0,-6.5
-38.0,0.6742326410773046,12809.0,-380.0,-6.333333333333333
-37.0,0.6755066392341931,12813.0,-370.0,-6.166666666666667
-36.0,0.676526217584501,12817.0,-360.0,-6.0
-35.0,0.6778206001442214,12821.0,-350.0,-5.833333333333333
-34.0,0.678920972758704,12825.0,-340.0,-5.666666666666667
-33.0,0.6797300541873859,12829.0,-330.0,-5.5
-32.0,0.680606289159132,12833.0,-320.0,-5.333333333333333
-31.0,0.6815219243771357,12837.0,-310.0,-5.166666666666667
-30.0,0.682397704897964,12841.0,-300.0,-5.0
-29.0,0.6832660295523473,12845.0,-290.0,-4.833333333333333
-28.0,0.6838353975929451,12850.0,-280.0,-4.666666666666667
-27.0,0.6848323458464292,12855.0,-270.0,-4.5
-26.0,0.6856161913301795,12861.0,-260.0,-4.333333333333333
-25.0,0.6864058076790207,12867.0,-250.0,-4.166666666666667
-24.0,0.6870390259222666,12873.0,-240.0,-4.0
-23.0,0.6876445522485931,12879.0,-230.0,-3.8333333333333335
-22.0,0.6882233551626701,12885.0,-220.0,-3.6666666666666665
-21.0,0.6886405028266351,12891.0,-210.0,-3.5
-20.0,0.6892989872833142,12897.0,-200.0,-3.3333333333333335
-19.0,0.689781363494497,12903.0,-190.0,-3.1666666666666665
-18.0,0.690157807134478,12909.0,-180.0,-3.0
-17.0,0.690543457766077,12916.0,-170.0,-2.8333333333333335
-16.0,0.6908423425632623,12923.0,-160.0,-2.6666666666666665
-15.0,0.6911665121744525,12930.0,-150.0,-2.5
-14.0,0.6915254847415672,12938.0,-140.0,-2.3333333333333335
-13.0,0.6919589901863771,12946.0,-130.0,-2.1666666666666665
-12.0,0.6923653416004067,12955.0,-120.0,-2.0
-11.0,0.6925745301395053,12964.0,-110.0,-1.8333333333333333
-10.0,0.6927340526623931,12973.0,-100.0,-1.6666666666666667
-9.0,0.693155888871107,12982.0,-90.0,-1.5
-8.0,0.6935441298646361,12991.0,-80.0,-1.3333333333333333
-7.0,0.6937217875628041,13000.0,-70.0,-1.1666666666666667
-6.0,0.694405608970844,13009.0,-60.0,-1.0
-5.0,0.6949889465377735,13018.0,-50.0,-0.8333333333333334
-4.0,0.6956756107804785,13027.0,-40.0,-0.6666666666666666
-3.0,0.6960345023492012,13037.0,-30.0,-0.5
-2.0,0.6967626175439872,13048.0,-20.0,-0.3333333333333333
-1.0,0.6974157298486615,13059.0,-10.0,-0.16666666666666666
0.0,0.6979113079827494,13070.0,0.0,0.0
1.0,0.6984456186397459,13059.0,10.0,0.16666666666666666
2.0,0.6990236936040165,13048.0,20.0,0.3333333333333333
3.0,0.6995245778303454,13037.0,30.0,0.5
4.0,0.7002151229780392,13027.0,40.0,0.6666666666666666
5.0,0.7007843975969367,13018.0,50.0,0.8333333333333334
6.0,0.7014142153158516,13009.0,60.0,1.0
7.0,0.7024194621196366,13000.0,70.0,1.1666666666666667
8.0,0.7030912049672253,12991.0,80.0,1.3333333333333333
9.0,0.7034279235931724,12982.0,90.0,1.5
10.0,0.703857995278756,12973.0,100.0,1.6666666666666667
11.0,0.7042634974178348,12964.0,110.0,1.8333333333333333
12.0,0.7047942557324174,12955.0,120.0,2.0
13.0,0.7051234940228749,12946.0,130.0,2.1666666666666665
14.0,0.7058006351577009,12938.0,140.0,2.3333333333333335
15.0,0.7064168685278387,12930.0,150.0,2.5
16.0,0.7074045143169608,12923.0,160.0,2.6666666666666665
17.0,0.7076953697762646,12916.0,170.0,2.8333333333333335
18.0,0.7083587458210205,12909.0,180.0,3.0
19.0,0.7089911249267102,12903.0,190.0,3.1666666666666665
20.0,0.7099229953415513,12897.0,200.0,3.3333333333333335
21.0,0.7106683414530852,12891.0,210.0,3.5
22.0,0.711621797810398,12885.0,220.0,3.6666666666666665
23.0,0.7122648130917674,12879.0,230.0,3.8333333333333335
24.0,0.7129593585035034,12873.0,240.0,4.0
25.0,0.7137868312937241,12867.0,250.0,4.166666666666667
26.0,0.7147936014393896,12861.0,260.0,4.333333333333333
27.0,0.7156400090773292,12855.0,270.0,4.5
28.0,0.7169128685722463,12850.0,280.0,4.666666666666667
29.0,0.718036713847544,12845.0,290.0,4.833333333333333
30.0,0.719014486121491,12841.0,300.0,5.0
31.0,0.720307637536888,12837.0,310.0,5.166666666666667
32.0,0.7215033183992138,12833.0,320.0,5.333333333333333
33.0,0.7226059874879729,12829.0,330.0,5.5
