time_utc,5.56x45mm M995,6.8x51mm Hybrid,7.62x39mm AP,7.62x51mm M62,7.62x54R BT,9x19mm PBP,9x39mm BP
2025-10-09 04:00:00+00:00,0.3857350694137932,0.14672652135955402,0.1970645361556616,0.2557628207213372,0.3162277660168921,-0.42701995979565077,0.12644871318747597
2025-10-09 05:00:00+00:00,0.3758659888954142,0.15459540454708437,0.16058623036783973,0.26818375761358126,0.29177365598255417,-0.4032886980427423,0.11488008957731129
2025-10-09 06:00:00+00:00,0.3450904989585458,0.17225335616768533,0.13335249455087597,0.2748178436643644,0.29177365598255417,-0.37435499395304694,0.10548498680540096
2025-10-09 07:00:00+00:00,0.3097225201081829,0.18148108600569116,0.10694596518725605,0.2661134986702291,0.24900189484154897,-0.3410004138830954,0.11035133776724654
2025-10-09 08:00:00+00:00,0.2822507149482857,0.1915920130764809,0.10694596518725605,0.2661134986702291,0.20913285959681344,-0.3076368281393182,0.11035133776724654
2025-10-09 09:00:00+00:00,0.2714900360799144,0.19924560587805626,0.10694596518725605,0.2661134986702291,0.19314875118838823,-0.2988945786748182,0.11035133776724654
2025-10-09 10:00:00+00:00,0.267288893917992,0.2017911632592279,0.10084635268092353,0.2661134986702291,0.18867014547384323,-0.2904655710561968,0.10573767891840123
2025-10-09 11:00:00+00:00,0.25967019653287204,0.20781478007270648,0.08495599540236337,0.2661134986702291,0.16859217766691842,-0.2823556408166601,0.10278997375605879
2025-10-09 12:00:00+00:00,0.2592867123480267,0.2045943940520442,0.0825613671712211,0.2648764314898649,0.16800949758793118,-0.2810847619805697,0.10227046204161612
2025-10-09 13:00:00+00:00,0.26506524648827207,0.20217893852481802,0.10450625123714678,0.2614533476686423,0.1753147187511557,-0.30415127602135894,0.10519580584678748
2025-10-09 14:00:00+00:00,0.2709170805596026,0.19976836171708498,0.12598942443580655,0.2614533476686423,0.1825833024961015,-0.32703755923130434,0.1105976578063169
2025-10-09 15:00:00+00:00,0.28074818659843737,0.19736222262641048,0.13592571507533172,0.2614533476686423,0.18983305884872473,-0.3528070701448337,0.11305495131385364
2025-10-09 16:00:00+00:00,0.290295706636587,0.19405105462537267,0.19037881073254848,0.25825148770980577,0.2118860954350317,-0.36778156382723454,0.12110571415722374
2025-10-09 17:00:00+00:00,0.29871895748681043,0.19917364893873113,0.22910245264593973,0.2606512656374161,0.20558639977431456,-0.38374044194239726,0.12790974233251806
2025-10-09 18:00:00+00:00,0.30753931675197366,0.20318468945383905,0.257343700372106,0.2783278048175387,0.19941993039470016,-0.39706967898136547,0.1375247795540045
2025-10-09 19:00:00+00:00,0.316707203112128,0.218189008042321,0.28192757667089363,0.2994100875943011,0.21931160619898998,-0.40617350638283856,0.14702673001059002
2025-10-09 20:00:00+00:00,0.33261443246554523,0.2420384376825234,0.307637804637358,0.32083426343871185,0.23793872554648055,-0.4159216463841821,0.15296420618826348
