time_utc,6.8x51mm Hybrid,7.62x51mm M62,7.62x54R BT,5.8x42mm DVC12,5.7x28mm SS190,7.62x39mm AP,9x39mm BP,4.6x30mm AP SX,12.7x55mm PS12B,5.56x45mm M995
2025-10-18 18:00:00+00:00,0.037725598293067215,0.10230280036061307,0.31987876881269234,-0.024586486790204025,0.06371532816522092,-0.046598876586825294,0.0751420659021715,0.05051812991680586,0.0901994191282351,0.05721205419788188
2025-10-18 20:00:00+00:00,-0.01613536163501864,0.051221543746752675,0.32388575944826087,-0.06099222550967862,0.021826216608040266,-0.04063715327863347,0.03716976379875524,0.025347184321084022,0.05588913852782845,0.03423520891260731
2025-10-18 22:00:00+00:00,-0.01513312646587131,0.032763592917359405,0.3272476547397104,-0.06792263923971883,0.021533089410599802,-0.022159848338858167,0.056807053179651144,0.047325410860516275,0.04584337536825966,0.04219397654714793
2025-10-19 00:00:00+00:00,0.029040776848169633,0.045749323099455,0.30890193284379036,-0.0770107336461379,0.013254556742264141,-0.020955226101354064,0.0868289364679206,0.08339397574959212,0.05796918371056252,0.10540842718327481
2025-10-19 02:00:00+00:00,2.8396181628279743e-13,0.040072058657028516,0.3249671219545011,-0.033329547939826586,0.015735776643857315,-0.06698249691975779,0.07845981930988224,0.0621246551184708,0.07842168188709313,0.06143989578519563
2025-10-19 04:00:00+00:00,-0.017833974197646086,0.03174666021789904,0.3379659719410192,-0.010776111219458397,0.04490989735999769,-0.0756364896908565,0.08440694321783995,0.05801399620980662,0.10642731064822705,0.021888590465145803
2025-10-19 06:00:00+00:00,-0.004590120127576973,0.05433663633689646,0.3512424883312583,0.030885844228272282,0.10040897253386312,-0.0853232533535898,0.11155086115378447,0.0893269978786726,0.1377320117221172,0.020405151581818652
2025-10-19 08:00:00+00:00,0.00014454514571877385,0.06428417973869842,0.3569816984269765,0.047649244222789454,0.12064875566644896,-0.08672787457140377,0.1248364676770301,0.10218670894973175,0.14851711879124274,0.021668622461711775
2025-10-19 10:00:00+00:00,-0.0013681677130126981,0.07075471183029806,0.34800415362335835,0.05994422480653729,0.1261942354298615,-0.08655003356847,0.13581132992920253,0.10556149818712003,0.14522360188422986,0.016163768085548886
2025-10-19 12:00:00+00:00,-0.008088197372345013,0.06432578562643493,0.3519705645458985,0.053993725392060425,0.12592417961179653,-0.06986181675757239,0.13505725139569105,0.10694123372715034,0.15015378361819218,0.02082041718578211
2025-10-19 14:00:00+00:00,-0.016790067721738952,0.06702810216501279,0.32761205441086544,0.048473454382247275,0.12036016495360387,-0.06499262633683878,0.12917491924420096,0.10553444060203468,0.11355121862546046,0.018656702502333634
2025-10-19 16:00:00+00:00,-0.030986341589349237,0.052776609663053746,0.3007358778781647,-0.0022022577780270464,0.07850009796569234,-0.0760019617532718,0.09292738548961796,0.07085405203199759,0.07835171223905471,-0.014472948999939964
2025-10-19 18:00:00+00:00,-0.053487179911362086,0.019852368207628077,0.26517614255470695,-0.0755248541790382,-0.0017704067780608913,-0.08509415934373865,0.056582439096278074,0.03228461007817113,0.04188996852935854,-0.04574186534239915
2025-10-19 20:00:00+00:00,-0.10643115311298754,-0.027961012409668952,0.26710171525763193,-0.1569345259177901,-0.06992889740303633,-0.09732662309643192,0.02388934857417791,0.00849588171652572,0.010021545038474671,-0.07478514015846031
2025-10-19 22:00:00+00:00,-0.10955434140116187,-0.026730305105863085,0.2683525540962471,-0.16576095401427554,-0.05799001643207821,-0.09597790688489366,0.05345441389581372,0.034899270783468425,0.007343603500059314,-0.0797025909068366
